Iterations; Iterationswithoutimprovement; Evaluations;caccC1; caccOmegaN; caccXi
168; 157; 672;0.84232; 0.0142513; 115.345
169; 158; 672;0.84232; 0.0142513; 115.345
169; 158; 676;0.84232; 0.0142513; 115.345
169; 158; 676;0.84232; 0.0142513; 115.345
170; 159; 676;0.84232; 0.0142513; 115.345
170; 159; 680;0.84232; 0.0142513; 115.345
170; 159; 680;0.84232; 0.0142513; 115.345
171; 160; 680;0.84232; 0.0142513; 115.345
171; 160; 684;0.84232; 0.0142513; 115.345
171; 160; 684;0.84232; 0.0142513; 115.345
172; 161; 684;0.84232; 0.0142513; 115.345
172; 161; 688;0.84232; 0.0142513; 115.345
172; 161; 688;0.84232; 0.0142513; 115.345
173; 162; 688;0.84232; 0.0142513; 115.345
173; 162; 692;0.84232; 0.0142513; 115.345
173; 162; 692;0.84232; 0.0142513; 115.345
174; 163; 692;0.84232; 0.0142513; 115.345
174; 163; 696;0.84232; 0.0142513; 115.345
174; 163; 696;0.84232; 0.0142513; 115.345
175; 164; 696;0.84232; 0.0142513; 115.345
175; 164; 700;0.84232; 0.0142513; 115.345
175; 164; 700;0.84232; 0.0142513; 115.345
176; 165; 700;0.84232; 0.0142513; 115.345
176; 165; 704;0.84232; 0.0142513; 115.345
176; 165; 704;0.84232; 0.0142513; 115.345
177; 166; 704;0.84232; 0.0142513; 115.345
177; 166; 708;0.84232; 0.0142513; 115.345
177; 166; 708;0.84232; 0.0142513; 115.345
178; 167; 708;0.84232; 0.0142513; 115.345
178; 167; 712;0.84232; 0.0142513; 115.345
178; 167; 712;0.84232; 0.0142513; 115.345
179; 168; 712;0.84232; 0.0142513; 115.345
179; 168; 716;0.84232; 0.0142513; 115.345
179; 168; 716;0.84232; 0.0142513; 115.345
180; 169; 716;0.84232; 0.0142513; 115.345
180; 169; 720;0.84232; 0.0142513; 115.345
180; 169; 720;0.84232; 0.0142513; 115.345
181; 170; 720;0.84232; 0.0142513; 115.345
181; 170; 724;0.84232; 0.0142513; 115.345
181; 170; 724;0.84232; 0.0142513; 115.345
182; 171; 724;0.84232; 0.0142513; 115.345
182; 171; 728;0.84232; 0.0142513; 115.345
182; 171; 728;0.84232; 0.0142513; 115.345
183; 172; 728;0.84232; 0.0142513; 115.345
183; 172; 732;0.84232; 0.0142513; 115.345
183; 172; 732;0.84232; 0.0142513; 115.345
184; 173; 732;0.84232; 0.0142513; 115.345
184; 173; 736;0.84232; 0.0142513; 115.345
184; 173; 736;0.84232; 0.0142513; 115.345
185; 174; 736;0.84232; 0.0142513; 115.345
185; 174; 740;0.84232; 0.0142513; 115.345
185; 174; 740;0.84232; 0.0142513; 115.345
