Iterations; Iterationswithoutimprovement; Evaluations;caccC1; caccOmegaN; caccXi
113; 100; 452;0.763566; 1.0669; 9.39979
113; 100; 452;0.763566; 1.0669; 9.39979
114; 101; 452;0.763566; 1.0669; 9.39979
114; 101; 456;0.763566; 1.0669; 9.39979
114; 101; 456;0.763566; 1.0669; 9.39979
115; 102; 456;0.763566; 1.0669; 9.39979
115; 102; 460;0.763566; 1.0669; 9.39979
115; 102; 460;0.763566; 1.0669; 9.39979
116; 103; 460;0.763566; 1.0669; 9.39979
116; 103; 464;0.763566; 1.0669; 9.39979
116; 103; 464;0.763566; 1.0669; 9.39979
117; 104; 464;0.763566; 1.0669; 9.39979
117; 104; 468;0.763566; 1.0669; 9.39979
117; 104; 468;0.763566; 1.0669; 9.39979
118; 105; 468;0.763566; 1.0669; 9.39979
118; 105; 472;0.763566; 1.0669; 9.39979
118; 105; 472;0.763566; 1.0669; 9.39979
119; 106; 472;0.763566; 1.0669; 9.39979
119; 106; 476;0.763566; 1.0669; 9.39979
119; 106; 476;0.763566; 1.0669; 9.39979
120; 107; 476;0.763566; 1.0669; 9.39979
120; 107; 480;0.763566; 1.0669; 9.39979
120; 107; 480;0.763566; 1.0669; 9.39979
121; 108; 480;0.763566; 1.0669; 9.39979
121; 108; 484;0.763566; 1.0669; 9.39979
121; 108; 484;0.763566; 1.0669; 9.39979
122; 109; 484;0.763566; 1.0669; 9.39979
122; 109; 488;0.763566; 1.0669; 9.39979
122; 109; 488;0.763566; 1.0669; 9.39979
123; 110; 488;0.763566; 1.0669; 9.39979
123; 110; 492;0.763566; 1.0669; 9.39979
123; 110; 492;0.763566; 1.0669; 9.39979
124; 111; 492;0.763566; 1.0669; 9.39979
124; 111; 496;0.763566; 1.0669; 9.39979
124; 111; 496;0.763566; 1.0669; 9.39979
125; 112; 496;0.763566; 1.0669; 9.39979
125; 112; 500;0.763566; 1.0669; 9.39979
125; 112; 500;0.763566; 1.0669; 9.39979
126; 113; 500;0.763566; 1.0669; 9.39979
126; 113; 504;0.763566; 1.0669; 9.39979
126; 113; 504;0.763566; 1.0669; 9.39979
127; 114; 504;0.763566; 1.0669; 9.39979
127; 114; 508;0.763566; 1.0669; 9.39979
127; 114; 508;0.763566; 1.0669; 9.39979
128; 115; 508;0.763566; 1.0669; 9.39979
128; 115; 512;0.763566; 1.0669; 9.39979
128; 115; 512;0.763566; 1.0669; 9.39979
129; 116; 512;0.763566; 1.0669; 9.39979
129; 116; 516;0.763566; 1.0669; 9.39979
129; 116; 516;0.763566; 1.0669; 9.39979
130; 117; 516;0.763566; 1.0669; 9.39979
130; 117; 520;0.763566; 1.0669; 9.39979
130; 117; 520;0.763566; 1.0669; 9.39979
131; 118; 520;0.763566; 1.0669; 9.39979
131; 118; 524;0.763566; 1.0669; 9.39979
131; 118; 524;0.763566; 1.0669; 9.39979
132; 119; 524;0.763566; 1.0669; 9.39979
132; 119; 528;0.763566; 1.0669; 9.39979
132; 119; 528;0.763566; 1.0669; 9.39979
133; 120; 528;0.763566; 1.0669; 9.39979
133; 120; 532;0.763566; 1.0669; 9.39979
133; 120; 532;0.763566; 1.0669; 9.39979
134; 121; 532;0.763566; 1.0669; 9.39979
134; 121; 536;0.763566; 1.0669; 9.39979
134; 121; 536;0.763566; 1.0669; 9.39979
135; 122; 536;0.763566; 1.0669; 9.39979
135; 122; 540;0.763566; 1.0669; 9.39979
135; 122; 540;0.763566; 1.0669; 9.39979
136; 123; 540;0.763566; 1.0669; 9.39979
136; 123; 544;0.763566; 1.0669; 9.39979
136; 123; 544;0.763566; 1.0669; 9.39979
137; 124; 544;0.763566; 1.0669; 9.39979
137; 124; 548;0.763566; 1.0669; 9.39979
137; 124; 548;0.763566; 1.0669; 9.39979
138; 125; 548;0.763566; 1.0669; 9.39979
